Year_Season,HospitalID,HospitalClass,StrokeRehabNumber,StrokeNumber,StrokeRehabRate,StrokeRehabRegionRate,StrokeRehabCountryRate,CityCode,TownCode
2016_1,101090517,2,106,185,0.573,0.6688,0.6686,63000,63000060
2016_2,101090517,2,112,171,0.655,0.7007,0.6761,63000,63000060
2016_3,101090517,2,133,206,0.6456,0.6887,0.6824,63000,63000060
2016_4,101090517,2,129,177,0.7288,0.6869,0.6773,63000,63000060
2017_1,101090517,2,97,162,0.5988,0.6762,0.6907,63000,63000060
2017_2,101090517,2,100,162,0.6173,0.6849,0.6963,63000,63000060
2017_3,101090517,2,93,143,0.6503,0.6825,0.6963,63000,63000060
2017_4,101090517,2,128,208,0.6154,0.6661,0.6863,63000,63000060
2018_1,101090517,2,118,164,0.7195,0.6921,0.6935,63000,63000060
2018_2,101090517,2,99,168,0.5893,0.6782,0.7035,63000,63000060
2018_3,101090517,2,117,175,0.6686,0.6773,0.6948,63000,63000060
2018_4,101090517,2,124,183,0.6776,0.6908,0.7061,63000,63000060
2019_1,101090517,2,116,165,0.703,0.712,0.7023,63000,63000060
2019_2,101090517,2,85,137,0.6204,0.7118,0.7081,63000,63000060
2019_3,101090517,2,108,164,0.6585,0.6733,0.7043,63000,63000060
2019_4,101090517,2,110,174,0.6322,0.6975,0.7101,63000,63000060
2020_1,101090517,2,102,158,0.6456,0.7079,0.7204,63000,63000060
2020_2,101090517,2,100,153,0.6536,0.7056,0.7184,63000,63000060
2020_3,101090517,2,91,142,0.6408,0.7146,0.7202,63000,63000060
2020_4,101090517,2,95,140,0.6786,0.7239,0.7261,63000,63000060
2021_1,101090517,2,72,123,0.5854,0.705,0.7219,63000,63000060
2021_2,101090517,2,45,78,0.5769,0.6791,0.7045,63000,63000060
2021_3,101090517,2,50,93,0.5376,0.7219,0.7243,63000,63000060
2021_4,101090517,2,61,109,0.5596,0.7442,0.7376,63000,63000060
2022_1,101090517,2,55,83,0.6627,0.7495,0.7516,63000,63000060
2022_2,101090517,2,49,94,0.5213,0.7412,0.7522,63000,63000060
2022_3,101090517,2,69,110,0.6273,0.7358,0.7411,63000,63000060
2022_4,101090517,2,66,92,0.7174,0.754,0.7564,63000,63000060
2023_1,101090517,2,58,99,0.5859,0.7641,0.7502,63000,63000060
2023_2,101090517,2,87,137,0.635,0.7713,0.7581,63000,63000060
2023_3,101090517,2,81,142,0.5704,0.7424,0.7534,63000,63000060
2023_4,101090517,2,84,129,0.6512,0.7639,0.7554,63000,63000060
2016_1,102020011,2,13,20,0.65,0.6811,0.6686,64000,64000020
2016_2,102020011,2,15,25,0.6,0.7004,0.6761,64000,64000020
2016_3,102020011,2,6,19,0.3158,0.6838,0.6824,64000,64000020
2016_4,102020011,2,14,24,0.5833,0.7053,0.6773,64000,64000020
2017_1,102020011,2,14,21,0.6667,0.7018,0.6907,64000,64000020
2017_2,102020011,2,15,22,0.6818,0.7144,0.6963,64000,64000020
2017_3,102020011,2,10,15,0.6667,0.7209,0.6963,64000,64000020
2017_4,102020011,2,6,13,0.4615,0.7323,0.6863,64000,64000020
2018_1,102020011,2,14,22,0.6364,0.7384,0.6935,64000,64000020
2018_2,102020011,2,8,16,0.5,0.7194,0.7035,64000,64000020
2018_3,102020011,2,9,17,0.5294,0.725,0.6948,64000,64000020
2018_4,102020011,2,10,14,0.7143,0.7428,0.7061,64000,64000020
2019_1,102020011,2,11,15,0.7333,0.7209,0.7023,64000,64000020
2019_2,102020011,2,14,20,0.7,0.7431,0.7081,64000,64000020
2019_3,102020011,2,12,18,0.6667,0.745,0.7043,64000,64000020
2019_4,102020011,2,10,12,0.8333,0.7534,0.7101,64000,64000020
2020_1,102020011,2,13,16,0.8125,0.762,0.7204,64000,64000020
2020_2,102020011,2,13,20,0.65,0.7473,0.7184,64000,64000020
2020_3,102020011,2,17,24,0.7083,0.7337,0.7202,64000,64000020
2020_4,102020011,2,13,25,0.52,0.7183,0.7261,64000,64000020
2021_1,102020011,2,13,23,0.5652,0.7126,0.7219,64000,64000020
2021_2,102020011,2,12,20,0.6,0.7394,0.7045,64000,64000020
2021_3,102020011,2,9,18,0.5,0.746,0.7243,64000,64000020
2021_4,102020011,2,13,21,0.619,0.7617,0.7376,64000,64000020
2022_1,102020011,2,14,23,0.6087,0.7573,0.7516,64000,64000020
2022_2,102020011,2,15,21,0.7143,0.7927,0.7522,64000,64000020
2022_3,102020011,2,14,16,0.875,0.7688,0.7411,64000,64000020
2022_4,102020011,2,12,15,0.8,0.7763,0.7564,64000,64000020
2023_1,102020011,2,13,16,0.8125,0.7923,0.7502,64000,64000020
2023_2,102020011,2,8,12,0.6667,0.7799,0.7581,64000,64000020
2023_3,102020011,2,18,22,0.8182,0.7611,0.7534,64000,64000020
2023_4,102020011,2,10,12,0.8333,0.7913,0.7554,64000,64000020
2016_1,102070020,2,32,47,0.6809,0.6811,0.6686,64000,64000070
2016_2,102070020,2,23,31,0.7419,0.7004,0.6761,64000,64000070
2016_3,102070020,2,29,44,0.6591,0.6838,0.6824,64000,64000070
2016_4,102070020,2,38,52,0.7308,0.7053,0.6773,64000,64000070
2017_1,102070020,2,19,39,0.4872,0.7018,0.6907,64000,64000070
2017_2,102070020,2,14,28,0.5,0.7144,0.6963,64000,64000070
2017_3,102070020,2,38,51,0.7451,0.7209,0.6963,64000,64000070
2017_4,102070020,2,29,38,0.7632,0.7323,0.6863,64000,64000070
2018_1,102070020,2,38,51,0.7451,0.7384,0.6935,64000,64000070
2018_2,102070020,2,27,39,0.6923,0.7194,0.7035,64000,64000070
2018_3,102070020,2,24,33,0.7273,0.725,0.6948,64000,64000070
2018_4,102070020,2,39,49,0.7959,0.7428,0.7061,64000,64000070
2019_1,102070020,2,26,40,0.65,0.7209,0.7023,64000,64000070
2019_2,102070020,2,26,47,0.5532,0.7431,0.7081,64000,64000070
2019_3,102070020,2,33,43,0.7674,0.745,0.7043,64000,64000070
2019_4,102070020,2,25,43,0.5814,0.7534,0.7101,64000,64000070
2020_1,102070020,2,23,33,0.697,0.762,0.7204,64000,64000070
2020_2,102070020,2,29,41,0.7073,0.7473,0.7184,64000,64000070
2020_3,102070020,2,34,42,0.8095,0.7337,0.7202,64000,64000070
2020_4,102070020,2,36,44,0.8182,0.7183,0.7261,64000,64000070
2021_1,102070020,2,28,34,0.8235,0.7126,0.7219,64000,64000070
2021_2,102070020,2,31,35,0.8857,0.7394,0.7045,64000,64000070
2021_3,102070020,2,28,39,0.7179,0.746,0.7243,64000,64000070
2021_4,102070020,2,27,34,0.7941,0.7617,0.7376,64000,64000070
2022_1,102070020,2,30,34,0.8824,0.7573,0.7516,64000,64000070
2022_2,102070020,2,27,29,0.931,0.7927,0.7522,64000,64000070
2022_3,102070020,2,33,37,0.8919,0.7688,0.7411,64000,64000070
2022_4,102070020,2,27,28,0.9643,0.7763,0.7564,64000,64000070
2023_1,102070020,2,35,40,0.875,0.7923,0.7502,64000,64000070
2023_2,102070020,2,28,36,0.7778,0.7799,0.7581,64000,64000070
2023_3,102070020,2,27,33,0.8182,0.7611,0.7534,64000,64000070
2023_4,102070020,2,28,34,0.8235,0.7913,0.7554,64000,64000070
2016_1,102080017,3,8,11,0.7273,0.6811,0.6686,64000,64000080
2016_2,102080017,3,8,10,0.8,0.7004,0.6761,64000,64000080
2016_3,102080017,3,5,6,0.8333,0.6838,0.6824,64000,64000080
2016_4,102080017,3,9,9,1,0.7053,0.6773,64000,64000080
2017_1,102080017,3,9,10,0.9,0.7018,0.6907,64000,64000080
2017_2,102080017,3,9,13,0.6923,0.7144,0.6963,64000,64000080
2017_3,102080017,3,7,7,1,0.7209,0.6963,64000,64000080
2017_4,102080017,3,12,15,0.8,0.7323,0.6863,64000,64000080
2018_1,102080017,3,8,9,0.8889,0.7384,0.6935,64000,64000080
2018_2,102080017,3,14,16,0.875,0.7194,0.7035,64000,64000080
2018_3,102080017,3,6,10,0.6,0.725,0.6948,64000,64000080
2018_4,102080017,3,6,6,1,0.7428,0.7061,64000,64000080
2019_1,102080017,3,6,7,0.8571,0.7209,0.7023,64000,64000080
2019_2,102080017,3,5,6,0.8333,0.7431,0.7081,64000,64000080
2019_3,102080017,3,11,13,0.8462,0.745,0.7043,64000,64000080
2019_4,102080017,3,7,14,0.5,0.7534,0.7101,64000,64000080
2020_1,102080017,3,9,10,0.9,0.762,0.7204,64000,64000080
2020_2,102080017,3,9,9,1,0.7473,0.7184,64000,64000080
2020_3,102080017,3,7,10,0.7,0.7337,0.7202,64000,64000080
2020_4,102080017,3,11,11,1,0.7183,0.7261,64000,64000080
2021_1,102080017,3,5,10,0.5,0.7126,0.7219,64000,64000080
2021_2,102080017,3,2,4,0.5,0.7394,0.7045,64000,64000080
2021_3,102080017,3,7,8,0.875,0.746,0.7243,64000,64000080
2021_4,102080017,3,14,16,0.875,0.7617,0.7376,64000,64000080
2022_1,102080017,3,12,14,0.8571,0.7573,0.7516,64000,64000080
2022_2,102080017,3,4,5,0.8,0.7927,0.7522,64000,64000080
2022_3,102080017,3,5,5,1,0.7688,0.7411,64000,64000080
2022_4,102080017,3,7,11,0.6364,0.7763,0.7564,64000,64000080
2023_1,102080017,3,4,6,0.6667,0.7923,0.7502,64000,64000080
2023_2,102080017,3,9,9,1,0.7799,0.7581,64000,64000080
2023_3,102080017,3,8,10,0.8,0.7611,0.7534,64000,64000080
2023_4,102080017,3,8,8,1,0.7913,0.7554,64000,64000080
2016_1,111070010,2,17,29,0.5862,0.6688,0.6686,10017,10017070
2016_2,111070010,2,18,28,0.6429,0.7007,0.6761,10017,10017070
2016_3,111070010,2,9,26,0.3462,0.6887,0.6824,10017,10017070
2016_4,111070010,2,14,25,0.56,0.6869,0.6773,10017,10017070
2017_1,111070010,2,18,30,0.6,0.6762,0.6907,10017,10017070
2017_2,111070010,2,21,27,0.7778,0.6849,0.6963,10017,10017070
2017_3,111070010,2,23,26,0.8846,0.6825,0.6963,10017,10017070
2017_4,111070010,2,18,21,0.8571,0.6661,0.6863,10017,10017070
2018_1,111070010,2,18,25,0.72,0.6921,0.6935,10017,10017070
2018_2,111070010,2,10,16,0.625,0.6782,0.7035,10017,10017070
2018_3,111070010,2,11,30,0.3667,0.6773,0.6948,10017,10017070
2018_4,111070010,2,24,31,0.7742,0.6908,0.7061,10017,10017070
2019_1,111070010,2,29,35,0.8286,0.712,0.7023,10017,10017070
2019_2,111070010,2,10,19,0.5263,0.7118,0.7081,10017,10017070
2019_3,111070010,2,16,22,0.7273,0.6733,0.7043,10017,10017070
2019_4,111070010,2,16,21,0.7619,0.6975,0.7101,10017,10017070
2020_1,111070010,2,8,12,0.6667,0.7079,0.7204,10017,10017070
2020_2,111070010,2,18,24,0.75,0.7056,0.7184,10017,10017070
2020_3,111070010,2,15,19,0.7895,0.7146,0.7202,10017,10017070
2020_4,111070010,2,14,20,0.7,0.7239,0.7261,10017,10017070
2021_1,111070010,2,15,27,0.5556,0.705,0.7219,10017,10017070
2021_2,111070010,2,14,16,0.875,0.6791,0.7045,10017,10017070
2021_3,111070010,2,22,29,0.7586,0.7219,0.7243,10017,10017070
2021_4,111070010,2,36,40,0.9,0.7442,0.7376,10017,10017070
2022_1,111070010,2,28,35,0.8,0.7495,0.7516,10017,10017070
2022_2,111070010,2,16,20,0.8,0.7412,0.7522,10017,10017070
2022_3,111070010,2,19,27,0.7037,0.7358,0.7411,10017,10017070
2022_4,111070010,2,29,37,0.7838,0.754,0.7564,10017,10017070
2023_1,111070010,2,39,45,0.8667,0.7641,0.7502,10017,10017070
2023_2,111070010,2,25,31,0.8065,0.7713,0.7581,10017,10017070
2023_3,111070010,2,24,34,0.7059,0.7424,0.7534,10017,10017070
2023_4,111070010,2,23,37,0.6216,0.7639,0.7554,10017,10017070
2016_1,117030010,2,11,18,0.6111,0.6743,0.6686,66000,10019040
2016_2,117030010,2,10,21,0.4762,0.6648,0.6761,66000,10019040
2016_3,117030010,2,13,22,0.5909,0.7002,0.6824,66000,10019040
2016_4,117030010,2,15,30,0.5,0.672,0.6773,66000,10019040
2017_1,117030010,2,20,40,0.5,0.7029,0.6907,66000,10019040
2017_2,117030010,2,9,24,0.375,0.7107,0.6963,66000,10019040
2017_3,117030010,2,18,33,0.5455,0.7035,0.6963,66000,10019040
2017_4,117030010,2,17,30,0.5667,0.6994,0.6863,66000,10019040
2018_1,117030010,2,8,29,0.2759,0.675,0.6935,66000,10019040
2018_2,117030010,2,14,38,0.3684,0.6968,0.7035,66000,10019040
2018_3,117030010,2,11,46,0.2391,0.6866,0.6948,66000,10019040
2018_4,117030010,2,9,22,0.4091,0.6913,0.7061,66000,10019040
2019_1,117030010,2,8,19,0.4211,0.6831,0.7023,66000,10019040
2019_2,117030010,2,2,19,0.1053,0.6958,0.7081,66000,10019040
2019_3,117030010,2,14,25,0.56,0.7281,0.7043,66000,10019040
2019_4,117030010,2,10,19,0.5263,0.7022,0.7101,66000,10019040
2020_1,117030010,2,13,23,0.5652,0.7275,0.7204,66000,10019040
2020_2,117030010,2,15,23,0.6522,0.7514,0.7184,66000,10019040
2020_3,117030010,2,22,31,0.7097,0.7319,0.7202,66000,10019040
2020_4,117030010,2,20,26,0.7692,0.748,0.7261,66000,10019040
2021_1,117030010,2,14,22,0.6364,0.7477,0.7219,66000,10019040
2021_2,117030010,2,6,13,0.4615,0.7195,0.7045,66000,10019040
2021_3,117030010,2,19,27,0.7037,0.7258,0.7243,66000,10019040
2021_4,117030010,2,19,31,0.6129,0.7375,0.7376,66000,10019040
2022_1,117030010,2,18,33,0.5455,0.7542,0.7516,66000,10019040
2022_2,117030010,2,14,23,0.6087,0.741,0.7522,66000,10019040
2022_3,117030010,2,10,17,0.5882,0.7599,0.7411,66000,10019040
2022_4,117030010,2,21,29,0.7241,0.7518,0.7564,66000,10019040
2023_1,117030010,2,11,24,0.4583,0.7373,0.7502,66000,10019040
2023_2,117030010,2,13,27,0.4815,0.7532,0.7581,66000,10019040
2023_3,117030010,2,13,24,0.5417,0.7745,0.7534,66000,10019040
2023_4,117030010,2,6,13,0.4615,0.7478,0.7554,66000,10019040
2016_1,121050011,2,13,18,0.7222,0.6552,0.6686,10021,10021080
2016_2,121050011,2,23,27,0.8519,0.6339,0.6761,10021,10021080
2016_3,121050011,2,22,27,0.8148,0.6743,0.6824,10021,10021080
2016_4,121050011,2,21,24,0.875,0.6634,0.6773,10021,10021080
2017_1,121050011,2,27,32,0.8438,0.6898,0.6907,10021,10021080
2017_2,121050011,2,23,30,0.7667,0.6578,0.6963,10021,10021080
2017_3,121050011,2,26,34,0.7647,0.6704,0.6963,10021,10021080
2017_4,121050011,2,26,33,0.7879,0.6721,0.6863,10021,10021080
2018_1,121050011,2,23,29,0.7931,0.652,0.6935,10021,10021080
2018_2,121050011,2,14,19,0.7368,0.7067,0.7035,10021,10021080
2018_3,121050011,2,9,15,0.6,0.696,0.6948,10021,10021080
2018_4,121050011,2,15,21,0.7143,0.702,0.7061,10021,10021080
2019_1,121050011,2,6,12,0.5,0.6801,0.7023,10021,10021080
2019_2,121050011,2,5,9,0.5556,0.6847,0.7081,10021,10021080
2019_3,121050011,2,6,16,0.375,0.6677,0.7043,10021,10021080
2019_4,121050011,2,8,16,0.5,0.7021,0.7101,10021,10021080
2020_1,121050011,2,5,10,0.5,0.7223,0.7204,10021,10021080
2020_2,121050011,2,5,11,0.4545,0.6816,0.7184,10021,10021080
2020_3,121050011,2,9,14,0.6429,0.7008,0.7202,10021,10021080
2020_4,121050011,2,7,9,0.7778,0.705,0.7261,10021,10021080
2021_1,121050011,2,6,11,0.5455,0.7199,0.7219,10021,10021080
2021_2,121050011,2,7,14,0.5,0.705,0.7045,10021,10021080
2021_3,121050011,2,8,11,0.7273,0.6941,0.7243,10021,10021080
2021_4,121050011,2,12,17,0.7059,0.7089,0.7376,10021,10021080
2022_1,121050011,2,5,10,0.5,0.7368,0.7516,10021,10021080
2022_2,121050011,2,2,2,1,0.7553,0.7522,10021,10021080
2022_3,121050011,2,5,5,1,0.703,0.7411,10021,10021080
2022_4,121050011,2,8,10,0.8,0.7381,0.7564,10021,10021080
2023_1,121050011,2,7,14,0.5,0.7233,0.7502,10021,10021080
2023_2,121050011,2,7,9,0.7778,0.7272,0.7581,10021,10021080
2023_3,121050011,2,4,5,0.8,0.723,0.7534,10021,10021080
2023_4,121050011,2,6,10,0.6,0.7438,0.7554,10021,10021080
2016_1,122020517,3,1,5,0.2,0.6552,0.6686,10020,10020020
2016_2,122020517,3,2,7,0.2857,0.6339,0.6761,10020,10020020
2016_3,122020517,3,8,8,1,0.6743,0.6824,10020,10020020
2016_4,122020517,3,3,7,0.4286,0.6634,0.6773,10020,10020020
2017_1,122020517,3,6,8,0.75,0.6898,0.6907,10020,10020020
2017_2,122020517,3,7,10,0.7,0.6578,0.6963,10020,10020020
2017_3,122020517,3,1,2,0.5,0.6704,0.6963,10020,10020020
2017_4,122020517,3,4,5,0.8,0.6721,0.6863,10020,10020020
2018_1,122020517,3,4,6,0.6667,0.652,0.6935,10020,10020020
2018_2,122020517,3,5,5,1,0.7067,0.7035,10020,10020020
2018_3,122020517,3,3,7,0.4286,0.696,0.6948,10020,10020020
2018_4,122020517,3,3,3,1,0.702,0.7061,10020,10020020
2019_1,122020517,3,0,3,0,0.6801,0.7023,10020,10020020
2019_2,122020517,3,3,8,0.375,0.6847,0.7081,10020,10020020
2019_3,122020517,3,2,3,0.6667,0.6677,0.7043,10020,10020020
2019_4,122020517,3,4,4,1,0.7021,0.7101,10020,10020020
2020_1,122020517,3,6,11,0.5455,0.7223,0.7204,10020,10020020
2020_2,122020517,3,3,7,0.4286,0.6816,0.7184,10020,10020020
2020_3,122020517,3,3,8,0.375,0.7008,0.7202,10020,10020020
2020_4,122020517,3,7,8,0.875,0.705,0.7261,10020,10020020
2021_1,122020517,3,16,18,0.8889,0.7199,0.7219,10020,10020020
2021_2,122020517,3,11,13,0.8462,0.705,0.7045,10020,10020020
2021_3,122020517,3,8,9,0.8889,0.6941,0.7243,10020,10020020
2021_4,122020517,3,19,22,0.8636,0.7089,0.7376,10020,10020020
2022_1,122020517,3,13,15,0.8667,0.7368,0.7516,10020,10020020
2022_2,122020517,3,16,16,1,0.7553,0.7522,10020,10020020
2022_3,122020517,3,13,15,0.8667,0.703,0.7411,10020,10020020
2022_4,122020517,3,12,17,0.7059,0.7381,0.7564,10020,10020020
2023_1,122020517,3,17,18,0.9444,0.7233,0.7502,10020,10020020
2023_2,122020517,3,13,13,1,0.7272,0.7581,10020,10020020
2023_3,122020517,3,16,17,0.9412,0.723,0.7534,10020,10020020
2023_4,122020517,3,20,21,0.9524,0.7438,0.7554,10020,10020020
2016_1,131020016,2,13,28,0.4643,0.6688,0.6686,65000,65000020
2016_2,131020016,2,9,17,0.5294,0.7007,0.6761,65000,65000020
2016_3,131020016,2,6,13,0.4615,0.6887,0.6824,65000,65000020
2016_4,131020016,2,11,15,0.7333,0.6869,0.6773,65000,65000020
2017_1,131020016,2,12,19,0.6316,0.6762,0.6907,65000,65000020
2017_2,131020016,2,8,23,0.3478,0.6849,0.6963,65000,65000020
2017_3,131020016,2,19,29,0.6552,0.6825,0.6963,65000,65000020
2017_4,131020016,2,22,30,0.7333,0.6661,0.6863,65000,65000020
2018_1,131020016,2,18,24,0.75,0.6921,0.6935,65000,65000020
2018_2,131020016,2,21,32,0.6563,0.6782,0.7035,65000,65000020
2018_3,131020016,2,23,32,0.7188,0.6773,0.6948,65000,65000020
2018_4,131020016,2,13,19,0.6842,0.6908,0.7061,65000,65000020
2019_1,131020016,2,14,27,0.5185,0.712,0.7023,65000,65000020
2019_2,131020016,2,16,33,0.4848,0.7118,0.7081,65000,65000020
2019_3,131020016,2,13,25,0.52,0.6733,0.7043,65000,65000020
2019_4,131020016,2,22,35,0.6286,0.6975,0.7101,65000,65000020
2020_1,131020016,2,14,18,0.7778,0.7079,0.7204,65000,65000020
2020_2,131020016,2,12,25,0.48,0.7056,0.7184,65000,65000020
2020_3,131020016,2,10,24,0.4167,0.7146,0.7202,65000,65000020
2020_4,131020016,2,22,28,0.7857,0.7239,0.7261,65000,65000020
2021_1,131020016,2,4,17,0.2353,0.705,0.7219,65000,65000020
2021_2,131020016,2,8,14,0.5714,0.6791,0.7045,65000,65000020
2021_3,131020016,2,3,9,0.3333,0.7219,0.7243,65000,65000020
2021_4,131020016,2,9,18,0.5,0.7442,0.7376,65000,65000020
2022_1,131020016,2,14,24,0.5833,0.7495,0.7516,65000,65000020
2022_2,131020016,2,11,18,0.6111,0.7412,0.7522,65000,65000020
2022_3,131020016,2,11,22,0.5,0.7358,0.7411,65000,65000020
2022_4,131020016,2,20,30,0.6667,0.754,0.7564,65000,65000020
2023_1,131020016,2,21,31,0.6774,0.7641,0.7502,65000,65000020
2023_2,131020016,2,28,37,0.7568,0.7713,0.7581,65000,65000020
2023_3,131020016,2,24,35,0.6857,0.7424,0.7534,65000,65000020
2023_4,131020016,2,28,39,0.7179,0.7639,0.7554,65000,65000020
2016_1,131060010,3,1,3,0.3333,0.6688,0.6686,65000,65000050
2016_2,131060010,3,1,1,1,0.7007,0.6761,65000,65000050
2016_3,131060010,3,1,1,1,0.6887,0.6824,65000,65000050
2017_3,131060010,3,1,1,1,0.6825,0.6963,65000,65000050
2018_2,131060010,3,0,1,0,0.6782,0.7035,65000,65000050
2018_3,131060010,3,2,4,0.5,0.6773,0.6948,65000,65000050
2019_1,131060010,3,1,1,1,0.712,0.7023,65000,65000050
2019_2,131060010,3,3,3,1,0.7118,0.7081,65000,65000050
2019_3,131060010,3,2,3,0.6667,0.6733,0.7043,65000,65000050
2019_4,131060010,3,5,9,0.5556,0.6975,0.7101,65000,65000050
2020_1,131060010,3,2,2,1,0.7079,0.7204,65000,65000050
2020_2,131060010,3,1,3,0.3333,0.7056,0.7184,65000,65000050
2020_3,131060010,3,4,5,0.8,0.7146,0.7202,65000,65000050
2021_1,131060010,3,2,3,0.6667,0.705,0.7219,65000,65000050
2021_2,131060010,3,3,3,1,0.6791,0.7045,65000,65000050
2021_3,131060010,3,16,18,0.8889,0.7219,0.7243,65000,65000050
2021_4,131060010,3,17,17,1,0.7442,0.7376,65000,65000050
2022_1,131060010,3,20,21,0.9524,0.7495,0.7516,65000,65000050
2022_2,131060010,3,17,17,1,0.7412,0.7522,65000,65000050
2022_3,131060010,3,13,17,0.7647,0.7358,0.7411,65000,65000050
2022_4,131060010,3,16,16,1,0.754,0.7564,65000,65000050
2023_1,131060010,3,22,24,0.9167,0.7641,0.7502,65000,65000050
2023_2,131060010,3,5,6,0.8333,0.7713,0.7581,65000,65000050
2023_3,131060010,3,3,5,0.6,0.7424,0.7534,65000,65000050
2023_4,131060010,3,5,7,0.7143,0.7639,0.7554,65000,65000050
2016_1,131060029,2,26,33,0.7879,0.6688,0.6686,65000,65000050
2016_2,131060029,2,35,45,0.7778,0.7007,0.6761,65000,65000050
2016_3,131060029,2,32,40,0.8,0.6887,0.6824,65000,65000050
2016_4,131060029,2,35,46,0.7609,0.6869,0.6773,65000,65000050
2017_1,131060029,2,37,51,0.7255,0.6762,0.6907,65000,65000050
2017_2,131060029,2,36,47,0.766,0.6849,0.6963,65000,65000050
2017_3,131060029,2,30,50,0.6,0.6825,0.6963,65000,65000050
2017_4,131060029,2,36,42,0.8571,0.6661,0.6863,65000,65000050
2018_1,131060029,2,38,44,0.8636,0.6921,0.6935,65000,65000050
2018_2,131060029,2,33,43,0.7674,0.6782,0.7035,65000,65000050
2018_3,131060029,2,31,42,0.7381,0.6773,0.6948,65000,65000050
2018_4,131060029,2,29,41,0.7073,0.6908,0.7061,65000,65000050
2019_1,131060029,2,41,48,0.8542,0.712,0.7023,65000,65000050
2019_2,131060029,2,29,35,0.8286,0.7118,0.7081,65000,65000050
2019_3,131060029,2,27,36,0.75,0.6733,0.7043,65000,65000050
2019_4,131060029,2,34,48,0.7083,0.6975,0.7101,65000,65000050
2020_1,131060029,2,37,50,0.74,0.7079,0.7204,65000,65000050
2020_2,131060029,2,32,44,0.7273,0.7056,0.7184,65000,65000050
2020_3,131060029,2,39,53,0.7358,0.7146,0.7202,65000,65000050
2020_4,131060029,2,45,60,0.75,0.7239,0.7261,65000,65000050
2021_1,131060029,2,47,64,0.7344,0.705,0.7219,65000,65000050
2021_2,131060029,2,30,44,0.6818,0.6791,0.7045,65000,65000050
2021_3,131060029,2,56,76,0.7368,0.7219,0.7243,65000,65000050
2021_4,131060029,2,55,77,0.7143,0.7442,0.7376,65000,65000050
2022_1,131060029,2,40,56,0.7143,0.7495,0.7516,65000,65000050
2022_2,131060029,2,40,49,0.8163,0.7412,0.7522,65000,65000050
2022_3,131060029,2,54,72,0.75,0.7358,0.7411,65000,65000050
2022_4,131060029,2,43,56,0.7679,0.754,0.7564,65000,65000050
2023_1,131060029,2,56,72,0.7778,0.7641,0.7502,65000,65000050
2023_2,131060029,2,53,62,0.8548,0.7713,0.7581,65000,65000050
2023_3,131060029,2,75,87,0.8621,0.7424,0.7534,65000,65000050
2023_4,131060029,2,54,67,0.806,0.7639,0.7554,65000,65000050
2016_1,132010014,2,56,95,0.5895,0.657,0.6686,68000,68000010
2016_2,132010014,2,64,97,0.6598,0.6689,0.6761,68000,68000010
2016_3,132010014,2,60,95,0.6316,0.6741,0.6824,68000,68000010
2016_4,132010014,2,57,95,0.6,0.6722,0.6773,68000,68000010
2017_1,132010014,2,59,111,0.5315,0.6967,0.6907,68000,68000010
2017_2,132010014,2,70,117,0.5983,0.7135,0.6963,68000,68000010
2017_3,132010014,2,72,94,0.766,0.7321,0.6963,68000,68000010
2017_4,132010014,2,65,96,0.6771,0.6848,0.6863,68000,68000010
2018_1,132010014,2,84,118,0.7119,0.7225,0.6935,68000,68000010
2018_2,132010014,2,101,120,0.8417,0.7374,0.7035,68000,68000010
2018_3,132010014,2,62,89,0.6966,0.7183,0.6948,68000,68000010
2018_4,132010014,2,70,99,0.7071,0.7164,0.7061,68000,68000010
2019_1,132010014,2,92,123,0.748,0.7247,0.7023,68000,68000010
2019_2,132010014,2,62,108,0.5741,0.7036,0.7081,68000,68000010
2019_3,132010014,2,70,103,0.6796,0.7166,0.7043,68000,68000010
2019_4,132010014,2,60,100,0.6,0.7116,0.7101,68000,68000010
2020_1,132010014,2,81,120,0.675,0.6924,0.7204,68000,68000010
2020_2,132010014,2,74,105,0.7048,0.7092,0.7184,68000,68000010
2020_3,132010014,2,89,115,0.7739,0.7237,0.7202,68000,68000010
2020_4,132010014,2,91,100,0.91,0.7232,0.7261,68000,68000010
2021_1,132010014,2,53,63,0.8413,0.7168,0.7219,68000,68000010
2021_2,132010014,2,81,99,0.8182,0.7064,0.7045,68000,68000010
2021_3,132010014,2,109,131,0.8321,0.7344,0.7243,68000,68000010
2021_4,132010014,2,132,151,0.8742,0.7322,0.7376,68000,68000010
2022_1,132010014,2,118,142,0.831,0.7645,0.7516,68000,68000010
2022_2,132010014,2,95,114,0.8333,0.7505,0.7522,68000,68000010
2022_3,132010014,2,135,157,0.8599,0.7256,0.7411,68000,68000010
2022_4,132010014,2,123,139,0.8849,0.765,0.7564,68000,68000010
2023_1,132010014,2,150,173,0.8671,0.7532,0.7502,68000,68000010
2023_2,132010014,2,131,150,0.8733,0.7542,0.7581,68000,68000010
2023_3,132010014,2,176,196,0.898,0.7628,0.7534,68000,68000010
2023_4,132010014,2,127,155,0.8194,0.7253,0.7554,68000,68000010
2016_1,132110519,3,8,12,0.6667,0.657,0.6686,68000,68000110
2016_2,132110519,3,7,7,1,0.6689,0.6761,68000,68000110
2016_3,132110519,3,9,12,0.75,0.6741,0.6824,68000,68000110
2016_4,132110519,3,8,14,0.5714,0.6722,0.6773,68000,68000110
2017_1,132110519,3,8,12,0.6667,0.6967,0.6907,68000,68000110
